query_doi,query_abstract,ground_truth_dois,metadata
10.1016/J.CRFS.2023.100517,"Changes in food systems during the last decades fostered the establishment of global food networks based on exchanges between countries with different income levels. Recent studies explored configuration and factors associated with trade networks of specific food items during limited periods however, there is lack of evidence on evolution of trade networks of foods for human consumption and its potential effects on population nutritional status. We present the evolution of the global trade network of foods for human consumption from 1986 to 2020, according to country income level, and we explore potential effects of country network centrality and globalization processes on the prevalence of overweight and obesity. Results show intensification of international food trade and globalization processes in the period of analysis with implications for population nutritional status worldwide.","[""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 897, ""original_abstract_found"": true}"
10.1016/J.TMAID.2023.102556,"Background Restrictions on international travel were widely applied to contain cross-border COVID-19 diffusion, while such applications varied globally, and little was known about their impacts on the long-term epidemic progression. Methods We explored the global diversity in maintaining border policies classified to four levels (screening, quarantine, ban on regions and total border closure) using data of 185 countries and regions between 01 January 2020 to 31 December 2021. By using Ordinary least squares (OLS) regression and quantile regression (QR) models, we examined the relationship between total COVID-19 incidence and the cumulative duration of each policy level in 2020-2021, and the heterogeneity of such association across different transmission severity countries. Results Firstly, ban on regions was the most durable policy applied in high-income countries, while in lowincome countries, less stringent measures of screening and quarantine arrivals were applied the longest. Secondly, the cumulatively longer maintenance of the border quarantine was significantly associated with lower infections (log) in COVID-19 high-prevalent countries (75th QR, coefficient estimates [] = 0.0038, 95% confidence interval 0.0066 to 0.0010). By contrast, in medium and high transmission severity countries, those with longer duration of imposing bans on regions showed no suppressing effects but significantly higher COVID-19 incidence (OLS regression, = 0.0028, 95% CI 0.0009-0.0047 75th QR, = 0.0039, 95% CI 0.0014-0.0063). No other significant results were found. Conclusion From the long-term perspective, inbound quarantine was effective in mitigating severe epidemics. However, in countries with medium or high COVID-19 prevalence, our findings of ban on regions highlighted its ineffectiveness in the long-term epidemic progression.","[""10.1016/J.CRFS.2023.100517"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 1845, ""original_abstract_found"": true}"
10.3390/IJERPH17228614,"Background There has been a widespread debate about the overall impact of globalization on population, not just economically, but also in terms of health status. Moreover, the current health crisis is going to force governments to review the structure of the public budget to most effectively alleviate the negative economic and health effects on the population. Objective The aim of this paper is to analyze the relative importance of globalization and the public budget composition-specifically the participation of public expenditure on healthcare, social services and environment in gross domestic product (GDP)-on life expectancy at birth in European countries during the period 1995-2017. Methods The Multivariate Adaptive Regression Splines (MARS) methodology was applied to analyze the socioeconomic determinants of life expectancy at birth. Results Our findings show that globalization has no relative importance as an explanatory variable of life expectancy in European countries, while government expenditure on social protection is the most relevant followed by public expenditure on health, gross national income per capita, education level of the population and public expenditure on environmental protection. Conclusion European strategies intended to impact on health outcome should spend more attention to the composition of public budget.","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 1356, ""original_abstract_found"": true}"
10.14254/2071-8330.2021/14-3/1,"China has numerous free trade agreements with various countries. In this research it will be examined who benefits from those free trade agreements. The sample includes 27 countries trading with China but 13 of these countries have signed a free trade agreement with China, or roughly half of all the available countries in our sample. The sample data are from 2001 -2017. An adjusted gravity model and a linear regression was carried out. While those countries that have made free trade agreement with China experienced modest or no increase in export to China, China itself experienced significant increase in export to its free trade partners after the agreement took place. In comparison, we carried out a linear regression of the total 27 countries where the trading countries experienced increase in export to China and China itself experienced increase in","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 862, ""original_abstract_found"": true}"
10.14201/RLOP.23132,"The literature concerning human values change argues that the main factor driving increasing levels of secularization and self-expression is the improvement of material conditions. In fact, studies have succeeded in presenting evidence of a strong relationship between GDP and post-materialist attitudes at the national level. Yet, in this study, we demonstrate this relationship is not as strong in Latin America. Based on the theory of mass-elite convergence of values, we argue that the main factor driving value change in Latin America is globalization and not economic development. With globalization, attitudes and values hitherto exclusive to the elites have become socially desirable and praised (chic) resulting in their massive dissemination. Using data from the World Values Survey, we confirm that variables related to material conditions are the best predictors of secularization and self-expression among Western European countries. However, in Latin 30 Ediciones Universidad de Salamanca / cc by-nc-nd RLOP. Vol. 9, 2 (2020), [29][30][31][32][33][34][35][36][37][38][39][40][41][42][43][44][45][46][47][48] America, the effects of economic development are weaker, and the evidence indicates that variables related to social globalization are more important to explaining patterns of value change. Palavras-chave auto-expresso psmaterialismo globalizao mudana de valores convergncia Amrica Latina Resumo A literatura relacionada mudana de valores humanos defende que o principal fator impulsionando os nveis de secularizao e auto-expresso a melhoria das condies materiais de vida. De fato, estudos demonstram evidncia da forte relao entre Produto Interno Bruto (PIB) e atitudes ps-materialistas em nvel nacional. Ainda assim, neste estudo, ns demonstramos que essa relao no to forte na Amrica Latina. Baseados na teoria da convergncia entre elite e massa, ns argumentamos que o principal fator impulsionando a mudana de valores na Amrica Latina a globalizao e no o desenvolvimento econmico. Com os processos de globalizao, atitudes e valores at ento exclusivos das elites se tornaram socialmente desejveis e exaltados (chic), resultando em sua disseminao em massa. Usando dados do World Values Survey (WVS), ns confirmamos que variveis relacionadas condies materiais so as melhores preditoras de secularizao e auto-expresso entre pases do Oeste Europeu. No entanto, na Amrica Latina, os efeitos do desenvolvimento econmico so mais fracos, e a evidncia indica que variveis relacionadas globalizao social so mais importantes para explicar padres de mudana de valores. 31 Ediciones Universidad de Salamanca / cc by-nc-nd RLOP. Vol. 9, 2 (2020), 29-48 32 Ediciones Universidad de Salamanca / cc by-nc-nd RLOP. Vol. 9, 2 (2020), 29-48 33 Ediciones Universidad de Salamanca / cc by-nc-nd RLOP. Vol. 9, 2 (2020), 29-48 2. The authors argue that the value change process is essentially collective and, therefore, can be analyzed at the aggregate level. For more on this debate (see, Inglehart W","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 3000, ""original_abstract_found"": true}"
10.22598/PI-BE/2021.15.1.23,"The paper brings an empirical research of various elements as explanatory factors of business environment reforms. Using the panel data model, the paper investigates the effects of macroeconomic conditions, political institutions and international factors on business environment reforms. The econometric analysis is performed on a panel dataset of European Union member states for the period between 1995 and 2017. Additionally, by clustering countries into new and old EU member states, analysis was also conducted for these two sub-panels. The obtained results confirm that business environment reforms depend on a number of factors, and that these differ between old and new EU member states.","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 696, ""original_abstract_found"": true}"
10.34069/AI/2020.29.05.26,"La economa subterrnea en los pases en transicin desde la perspectiva de la globalizacin el caso de Vietnam AbstractThe underground economy, also known as the shadow economy, has been recognized for a long time and increasingly plays an important role in economies around the world, especially for developing countries like Vietnam. Over the past few years, the strong growth of the Vietnamese economy has recognized the development and significant contribution of informal economic activities. This study was conducted to evaluate the effects of globalization and economic openness on the size of the informal economy to fill the theoretical gap and proposed appropriate recommendations for policymakers. The research uses qualitative and quantitative analysis methods. We collected KOF Globalization Index from ETH Zurich -Swiss, the trade index from World Bank and the size of the underground economy in Vietnam from the research of Medina and Schneider (2018) for analyzing. The results show that the trade openness has a positive impact on the development of globalization in Vietnam. Also, the promotion of globalization plays a vital role in reducing the size of the underground economy in Vietnam. Several implications for policy makers has been proposed based on our findings.","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 1284, ""original_abstract_found"": true}"
10.1007/S11625-022-01166-3,"The extent and impacts of biological invasions on biodiversity are largely shaped by an array of socio-economic and environmental factors, which exhibit high variation among countries. Yet, a global analysis of how these factors vary across countries is currently lacking. Here, we investigate how five broad, country-specific socio-economic and environmental indices (Governance, Trade, Environmental Performance, Lifestyle and Education, Innovation) explain country-level (1) established alien species (EAS) richness of eight taxonomic groups, and (2) proactive or reactive capacity to prevent and manage biological invasions and their impacts. These indices underpin many aspects of the invasion process, including the","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.3390/EN13040850"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 721, ""original_abstract_found"": true}"
10.3390/EN13040850,"The enhancement of the financial sector significantly drives a nation's economy and thereby increase energy intensity. Considering this situation, the current study aims to examine the link between globalization and financial advancements with the energy intensity of the top 5 ASEAN (Association of Southeast Asian Nations) economies. The development structure of the ASEAN region is considered significant for having stable growth. The authors used the annual data from 1990 to 2018 for five of the largest ASEAN economies Singapore, Malaysia, Thailand, Indonesia, and the Philippines. The present study used novel methodology, the Adaptive Neuro-Fuzzy Inference System (ANFIS), to examine the nonlinear behaviour among globalization, financial development, and energy intensity in the top 5 ASEAN countries. The study results using ANFIS confirm that globalization and financial development are positively correlated and have a significant impact on the energy intensity level in the top ASEAN countries. The results further suggest that globalization and financial development increase the level of energy intensity more in the countries that are developed relative to their peers in the top ASEAN countries. Moreover, the outcomes of ANFIS also suggest that those countries, which are more globalized and financially developed, have more potential to increase the level of energy intensity. Therefore, the government needs to focus more on projects that involve renewable energy and are environmentally friendly.","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.1136/BMJGH-2023-012062"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 1517, ""original_abstract_found"": true}"
10.1136/BMJGH-2023-012062,"Introduction There is a lack of quantitative evidence on the role of food innovationsnew food ingredients and processing techniquesin the nutrition transition. Objective Document the distribution of food innovations across 67 high-income (HIC) and middle-income (MIC) countries between 1970 and 2010, and its association with the nutritional composition of food supply. Methods We used all available data on food patents, as compiled by the European Patent Office, to measure food innovations. We considered innovations directly received by countries from inventors seeking protection in their territories, and those embedded in processed food imports. Food and Agricultural Organization data were used to estimate the associations between international diffusion of food innovations and trends in total food supply and its macronutrient composition, after adjusting for confounding trends in demand-side factors. We identified the role of trade by simulating the changes in average diet due to innovations embedded in food imports. Results Trends in food innovations were positively and significantly associated with changes in daily per capita calorie supply available for human consumption in MIC between 1990 and 2010 (elasticity of 0.027, 95%CI 0.019 to 0.036). Food innovations were positively correlated with the share of animal and free fats in total food supply (elasticities of 0.044, 95%CI 0.030 to 0.058 for MIC between 1970 and 1989 and 0.023, 95%CI 0.003 to 0.043 for HIC between 1990 and 2010). Food innovations were associated with substitutions from complex carbohydrates towards sugars in total food supply for MIC after 1990 (elasticities of 0.037, 95%CI 0.045 to 0.029 for complex carbs, 0.082, 95%CI 0.066 to 0.098 for sugars). For these countries, the trade channel capturing access to innovations through imports of processed food played a key role. Conclusion Policy-makers should consider the impacts of the international diffusion of food innovations in assessing the costs and benefits of international trade regulations.","[""10.1016/J.CRFS.2023.100517"", ""10.1016/J.TMAID.2023.102556"", ""10.3390/IJERPH17228614"", ""10.14254/2071-8330.2021/14-3/1"", ""10.14201/RLOP.23132"", ""10.22598/PI-BE/2021.15.1.23"", ""10.34069/AI/2020.29.05.26"", ""10.1007/S11625-022-01166-3"", ""10.3390/EN13040850"", ""10.3389/FPUBH.2021.681604"", ""10.3846/CIBMEE.2021.590"", ""10.35784/PREKO.3947"", ""10.1016/J.HELIYON.2024.E24636"", ""10.5829/IJEE.2021.12.01.09"", ""10.47743/SAEB-2023-0007"", ""10.1088/1748-9326/ABDC89"", ""10.1088/1748-9326/ABF465"", ""10.21203/RS.3.RS-178902/V1"", ""10.1177/19485506221124392"", ""10.7176/JEP/11-24-05"", ""10.1080/13501763.2022.2096103"", ""10.24294/JIPD.V8I3.3108"", ""10.21511/PPM.19(1).2021.34"", ""10.30784/EPFAD.632288"", ""10.35774/JEE2021.02.246"", ""10.1080/09638199.2023.2253478"", ""10.30525/2661-5150/2022-2-3"", ""10.3390/SU12135480"", ""10.17811/EBL.12.3.2023.213-230"", ""10.20885/EJEM.VOL12.ISS2.ART8"", ""10.1002/SD.2251"", ""10.33271/NVNGU/2021-1/154"", ""10.1080/17938120.2022.2160182"", ""10.52131/JOE.2021.0302.0039"", ""10.20885/EJEM.VOL14.ISS2.ART5"", ""10.1007/S40497-022-00339-9"", ""10.1186/S12992-021-00769-2"", ""10.1002/IJFE.2555"", ""10.7441/JOC.2023.02.02"", ""10.1007/S10668-022-02676-X"", ""10.1057/S41599-023-01747-2"", ""10.1007/S11079-021-09646-2"", ""10.1371/JOURNAL.PONE.0275249"", ""10.3390/JOITMC7010049""]","{""source_datapaper"": ""10.1007/S11558-019-09344-2"", ""char_length"": 2048, ""original_abstract_found"": true, ""source"": ""semantic_scholar_api""}"
